ID,Jenis_Kelamin,Produk,Durasi_Produk,Informasional,Durasi_Informasional,Administratif,Durasi_Administratif,Login,Promo_Klik,Favorit_Klik,Favorit_Tambah,Keranjang_Klik,Keranjang_Tambah,Rate_Pentalan,Rate_Keluar,Nilai_Halaman,Bulan,Hari_Spesial,Akhir_Pekan,Wilayah,Browser,Jenis_Traffic,Tipe_Pengunjung,Checkout
09e13f1a-5b53-4b59-b281-2b456b4594a4,L,27,798.3333332999998,0,0.0,3,87.83333333,1,0,0,0,1,0,0.0,0.012643678,22.9160357,Feb,0.8,False,South America,"Mozilla/5.0 (Macintosh; Intel Mac OS X 12_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Social Media Instagram,Returning_Visitor,True
0aa2eb50-c541-4fda-b0b8-58ac0fc4dd99,P,36,2111.341667,0,0.0,10,1005.666667,1,1,1,1,0,0,0.004347826,0.014492753999999997,11.43941195,Feb,0.0,False,North America,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36 OPR/80.0.4170.72",Organic Google,Returning_Visitor,True
97781082-76aa-4cf1-a10d-095af33e48b4,P,19,607.0,0,0.0,4,61.0,1,1,1,1,1,0,0.0,0.026984127000000004,17.53595893,Feb,1.0,True,North America,"Mozilla/5.0 (Macintosh; Intel Mac OS X 12_0_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Paid Search Ads Instagram,Returning_Visitor,True
ebdd856e-71a3-4ff1-b81b-c5366e19c853,P,49,1868.819697,1,48.5,9,111.5,1,1,1,1,1,0,0.0,0.020708874,1.706014966,Mar,0.0,False,North America,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1Mozilla/5.0 (iPad; CPU OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1",Organic Google,Returning_Visitor,True
7c9cc9aa-5b76-4e1d-9715-2eec21276336,P,67,2563.783333,1,144.0,2,56.0,1,1,0,0,1,1,0.0,0.005797101,19.34265017,Mar,0.0,False,Asia,"Mozilla/5.0 (X11; CrOS x86_64 8172.45.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.64 Safari/537.36",Organic Google,New_Visitor,True
7931920f-865e-4d91-b0be-8879218b4529,P,17,840.2333332999998,0,0.0,0,0.0,1,1,1,1,1,0,0.0,0.001666667,109.176,Mar,0.0,False,Europe,"Mozilla/5.0 (iPod; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1",Organic Google,New_Visitor,True
8c15a387-4b8a-4fd5-92af-83623bbcd226,L,55,1970.844805,2,125.0,3,94.0,1,1,0,0,1,0,0.0,0.0017241379999999998,96.25511582,Mar,0.0,True,North America,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36 Edg/95.0.1020.40",Organic Google,New_Visitor,True
a9bd0891-dd67-4fbd-8023-e8dd5bda8b55,L,50,2867.0,0,0.0,1,32.0,1,1,1,1,1,1,0.0,0.004,153.44324780000005,Mar,0.0,True,North America,"Mozilla/5.0 (iPod; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1",Paid Media Tiktok,Returning_Visitor,True
0e4d5dc5-0c16-4af1-a807-eec4d38d2c78,P,16,1331.75,0,0.0,1,18.0,1,0,1,1,0,1,0.0,0.0125,33.79956701,Mar,0.0,False,Europe,Mozilla/5.0 (Android 12; Mobile; rv:68.0) Gecko/68.0 Firefox/93.0,Paid Media Instagram,New_Visitor,True
a0c870ea-a5f6-4b5e-9cc4-7941537e2ec7,P,14,643.0,0,0.0,2,38.0,1,0,1,1,0,1,0.0,0.013333333,35.0928,Mar,0.0,False,Australia,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",Social Media Instagram,Returning_Visitor,True
b162b416-c24d-4a0b-9f1d-f031f46d713f,P,16,2337.0,0,0.0,0,0.0,1,0,1,1,0,0,0.0,0.013333333,17.76266667,Mar,0.0,False,North America,"Mozilla/5.0 (X11; CrOS x86_64 8172.45.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.64 Safari/537.36",Social Media Instagram,Returning_Visitor,True
4c2fd23b-ae02-49d2-a564-745abc61d77a,L,32,908.013456,0,0.0,16,155.6313131,1,1,1,1,1,0,0.005,0.01805276,4.368515556,Mar,0.0,False,South America,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1Mozilla/5.0 (iPad; CPU OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1",Organic Google,Returning_Visitor,True
063a41ec-e593-4649-9b83-0410041dd0f9,L,29,1916.761905,1,64.0,1,158.0,1,1,0,0,1,1,0.006451613,0.018709677,8.772473117999999,Mar,0.0,True,South America,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Organic Google,Returning_Visitor,True
94281159-2b09-4a3d-be47-ba31de01d757,L,63,5220.083333,0,0.0,0,0.0,1,0,1,1,1,1,0.0,0.003329865,51.46331148,Mar,0.0,True,South America,Mozilla/5.0 (Android 12; Mobile; rv:68.0) Gecko/68.0 Firefox/93.0,Social Media Instagram,Returning_Visitor,True
031f0214-eef5-41cf-80a2-c69b970b25bb,P,10,197.2,0,0.0,4,15.0,1,1,0,1,1,1,0.0,0.016666667,38.99,Mar,0.0,True,North America,"Mozilla/5.0 (Macintosh; Intel Mac OS X 12_0_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Paid Media Instagram,Returning_Visitor,True
6aacca48-f516-4195-a7fa-0c487e6ee23d,P,11,300.0714286000001,0,0.0,0,0.0,1,0,1,0,1,1,0.0,0.02,53.9892,Mar,0.0,True,North America,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Social Media Tiktok,Returning_Visitor,True
00f28872-59cc-4d86-ba3f-b11b84b1f337,P,14,603.6666667000002,1,14.33333333,2,8.0,1,1,0,0,1,0,0.0,0.0125,44.67925,Mar,0.0,False,North America,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",Referral Blogger,Returning_Visitor,True
9ad99ff9-20e3-43be-80aa-ea36e07f8bc3,P,13,328.9166667,0,0.0,0,0.0,1,0,0,0,1,0,0.0,0.014285714,59.79014286,Mar,0.0,False,North America,"Mozilla/5.0 (iPod; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1",Paid Media Instagram,Returning_Visitor,True
e3586488-2314-4737-839c-d62275bbdd61,P,23,1483.6,0,0.0,1,38.0,1,1,1,1,1,1,0.022916667,0.038373016,7.103020833,Mar,0.0,False,Australia,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Social Media Instagram,Returning_Visitor,True
cdd01a00-943e-42bf-baa3-03a56d40ed5e,P,30,1992.833333,1,9.0,0,0.0,1,1,1,1,0,1,0.0,0.003333333,9.227000967,Mar,0.0,False,North America,"Mozilla/5.0 (Windows Mobile 10; Android 10.0; Microsoft; Lumia 950XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Mobile Safari/537.36 Edge/40.15254.603",Paid Media Instagram,Returning_Visitor,True
33f68a37-2dff-4c23-a7f6-bcca1ced6e7c,L,9,341.0,0,0.0,3,618.0,1,1,0,0,1,1,0.0,0.007692308,34.43601877,Mar,0.0,False,Europe,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1Mozilla/5.0 (iPad; CPU OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1",Paid Media Instagram,New_Visitor,True
6503ebd1-5058-4514-87b7-a69f18116d39,P,22,1034.975,3,60.0,2,102.5,1,1,1,1,1,1,0.0,0.014,16.14384,Mar,0.0,False,Asia,"Mozilla/5.0 (Macintosh; Intel Mac OS X 12_0_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Organic Google,Returning_Visitor,True
a316a01d-3753-4185-9b01-8ba56ad40bf8,P,47,1532.2,0,0.0,6,71.5,1,1,1,0,0,0,0.009929078,0.019797366,27.26888014,Mar,0.0,False,North America,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Social Media Instagram,Returning_Visitor,True
9352f749-c0dd-4da6-9968-196eecdcf998,L,31,1204.600433,4,654.3333332999998,7,191.2,1,1,1,0,0,0,0.000854701,0.013342491,11.92009615,Mar,0.0,False,North America,"Mozilla/5.0 (Linux; Android 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.50 Mobile Safari/537.36",Organic Google,Returning_Visitor,True
7e289042-66bc-4574-8c17-9c3c3a475d1b,L,39,1743.3666670000002,0,0.0,2,47.0,1,0,0,0,0,0,0.0,0.016410256,78.93483561,Mar,0.0,False,Europe,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36 Vivaldi/4.3",Social Media Instagram,Returning_Visitor,True
f6a18cc5-066b-45b9-9555-76c91c39ba3e,P,30,1569.625,4,142.0,8,237.5,1,1,0,1,0,1,0.0,0.008108108000000001,15.88906362,Mar,0.0,True,North America,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36",Referral Forum,Returning_Visitor,True
9a879ec4-eafe-41c2-81a0-8c93e6231b85,L,15,245.0,2,39.0,0,0.0,1,1,1,0,1,0,0.0,0.0125,11.9955404,Mar,0.0,True,North America,"Mozilla/5.0 (Macintosh; Intel Mac OS X 12_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Paid Media Instagram,Returning_Visitor,True
df1ec99b-0456-4453-a944-f7480afb0e1d,L,149,5042.458059000001,2,629.0,4,74.0,1,0,0,0,1,1,0.003870968,0.007285123,18.36804916,Mar,0.0,False,North America,"Mozilla/5.0 (Linux; Android 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.50 Mobile Safari/537.36",Organic Google,Returning_Visitor,True
93a34436-4ba2-4878-9600-be9655ccbf26,P,17,766.5,0,0.0,0,0.0,1,1,0,0,1,1,0.0,0.0125,61.9395,Mar,0.0,True,North America,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Organic Google,New_Visitor,True
58563b97-fa9d-4d1f-9d36-513f22d69503,P,66,2868.133333,0,0.0,4,100.3,1,1,1,1,1,1,0.011428571,0.01725974,9.162351243,Mar,0.0,False,North America,"Mozilla/5.0 (Linux; Android 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.50 Mobile Safari/537.36",Social Media Instagram,Returning_Visitor,True
0a07d1f0-e19c-4990-94c0-e148729ad9d2,L,258,11301.20416,6,449.33333330000005,14,416.39285710000007,1,0,0,0,1,0,0.0,0.00742538,33.611791700000005,Mar,0.0,False,Europe,"Mozilla/5.0 (Windows Mobile 10; Android 10.0; Microsoft; Lumia 950XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Mobile Safari/537.36 Edge/40.15254.603",Organic Google,Returning_Visitor,True
3c31b019-d000-4974-a669-21e691f282c7,L,51,2122.656061,1,0.0,0,0.0,1,1,1,1,1,1,0.0,0.007051282,9.294775641000001,Mar,0.0,False,North America,"Mozilla/5.0 (Macintosh; Intel Mac OS X 12_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Social Media Facebook,Returning_Visitor,True
3c6c8b9c-a2e8-40fa-9807-2187ecee4768,P,83,2585.61835,0,0.0,6,99.60588235,1,1,1,0,1,1,0.0,0.00761877,6.871308983,Mar,0.0,False,Europe,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Organic Google,Returning_Visitor,True
3c51a6ed-2059-4c83-a47f-78aec6c20ac7,L,10,808.5,1,103.0,3,68.0,1,1,1,0,1,1,0.0,0.015384615,35.99261538,Mar,0.0,True,South America,"Mozilla/5.0 (Linux; Android 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.50 Mobile Safari/537.36",Referral Blogger,Returning_Visitor,True
7268f482-595a-4cff-aeec-5fd74b3dab31,P,7,179.0,0,0.0,1,34.0,1,1,1,0,1,1,0.0,0.028571429,53.13428571,Mar,0.0,False,Europe,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.50 Mobile Safari/537.36 EdgA/93.0.961.80",Paid Media Tiktok,New_Visitor,True
5aa8498c-9f72-4dc5-a6d0-5b5db2e0a963,P,41,2720.671429,12,404.0,6,176.25,1,1,1,1,1,0,0.012962963,0.033262108,8.833825926,Mar,0.0,True,Europe,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36",Organic Google,Returning_Visitor,True
e5f6c673-faac-412f-9728-79a08cc98657,L,48,2309.732468,2,263.0,6,523.2142857,1,0,0,0,1,0,0.003846154,0.014903846,10.60089168,Mar,0.0,False,South America,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",Social Media Instagram,Returning_Visitor,True
0d15a1c1-a408-44fe-a5f3-08554109e8aa,P,17,694.0,0,0.0,3,118.6666667,1,1,0,0,1,1,0.003703704,0.008333333,27.45138186,Mar,0.0,True,North America,"Mozilla/5.0 (Macintosh; Intel Mac OS X 12_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Organic Google,Returning_Visitor,True
29ef3071-0973-43c4-a456-5a9200ba5208,L,24,463.81666669999987,0,0.0,3,92.83333333,1,0,0,0,0,0,0.002666667,0.015333333,17.84230699,Mar,0.0,False,North America,"Mozilla/5.0 (iPad; CPU OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Mobile/15E148 Safari/604.1",Organic Google,Returning_Visitor,True
a3a71fbd-868b-4e1f-977c-31370cbfa689,P,37,1643.435516,0,0.0,0,0.0,1,1,0,0,1,1,0.005555556,0.032271242,2.188718519,Mar,0.0,True,South America,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 EdgiOS/95.0.1020.40 Mobile/15E148 Safari/605.1.15",Organic Google,Returning_Visitor,True
4752f4ea-e098-4c82-a5a3-5b8dd630b090,P,27,1070.461905,0,0.0,0,0.0,1,1,0,0,1,1,0.0,0.007407406999999999,57.72936039999999,Mar,0.0,False,South America,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Organic Google,Returning_Visitor,True
c7844e22-4101-424e-82ec-cd256c0cb21b,P,31,1021.619336,2,77.0,17,754.1095238,1,0,0,0,1,1,0.004545455,0.026479076,2.08053355,Mar,0.0,False,South America,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1",Organic Google,Returning_Visitor,True
39fa4ad9-5670-4be4-8c07-0d2ebe34c79d,P,45,1594.283333,0,0.0,0,0.0,1,0,0,1,1,1,0.0,0.015227273,45.4316713,Mar,0.0,True,North America,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1Mozilla/5.0 (iPad; CPU OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1",Organic Google,Returning_Visitor,True
